Block (97, 113): dy = 4, dx = 2
Block (113, 113): dy = -6, dx = -3
Block (129, 113): dy = 8, dx = -3
Block (145, 113): dy = 8, dx = -8
Block (161, 113): dy = 2, dx = 8
Block (177, 113): dy = -8, dx = 8
Block (193, 113): dy = -7, dx = -6
Block (209, 113): dy = -8, dx = -8
Block (225, 113): dy = 8, dx = 5
Block (241, 113): dy = -8, dx = 0
Block (257, 113): dy = -8, dx = -8
Block (273, 113): dy = -6, dx = -8
Block (289, 113): dy = 8, dx = -8
Block (305, 113): dy = -8, dx = 8
Block (321, 113): dy = -8, dx = 0
Block (337, 113): dy = 8, dx = 0
Block (1, 129): dy = 8, dx = 2
Block (17, 129): dy = 8, dx = 8
Block (33, 129): dy = 8, dx = 8
Block (49, 129): dy = 8, dx = 6
Block (65, 129): dy = 5, dx = -7
Block (81, 129): dy = -1, dx = -3
Block (97, 129): dy = -8, dx = 1
Block (113, 129): dy = 0, dx = 8
Block (129, 129): dy = 0, dx = -5
Block (145, 129): dy = -8, dx = -8
Block (161, 129): dy = -8, dx = 8
Block (177, 129): dy = 8, dx = 8
Block (193, 129): dy = 8, dx = -7
Block (209, 129): dy = -8, dx = -8
Block (225, 129): dy = -4, dx = 2
Block (241, 129): dy = -6, dx = -8
Block (257, 129): dy = -8, dx = 8
Block (273, 129): dy = -8, dx = 8
Block (289, 129): dy = -3, dx = -8
Block (305, 129): dy = 4, dx = -8
Block (321, 129): dy = -8, dx = 8
Block (337, 129): dy = -8, dx = 0
Block (1, 145): dy = -8, dx = 0
Block (17, 145): dy = 8, dx = -8
Block (33, 145): dy = 8, dx = -8
Block (49, 145): dy = -8, dx = -8
Block (65, 145): dy = -8, dx = -8
Block (81, 145): dy = -8, dx = 8
Block (97, 145): dy = -8, dx = -1
Block (113, 145): dy = 8, dx = 8
Block (129, 145): dy = 8, dx = -4
Block (145, 145): dy = 8, dx = -8
Block (161, 145): dy = 8, dx = 8
Block (177, 145): dy = 8, dx = 8
Block (193, 145): dy = 8, dx = -3
Block (209, 145): dy = 8, dx = -8
Block (225, 145): dy = -8, dx = 8
Block (241, 145): dy = -8, dx = 8
Block (257, 145): dy = 8, dx = 8
Block (273, 145): dy = 0, dx = 3
Block (289, 145): dy = -5, dx = 6
Block (305, 145): dy = 7, dx = -8
Block (321, 145): dy = -5, dx = 7
Block (337, 145): dy = 2, dx = 0
Block (1, 161): dy = 8, dx = 0
Block (17, 161): dy = 2, dx = 8
Block (33, 161): dy = 7, dx = -5
Block (49, 161): dy = 8, dx = -8
Block (65, 161): dy = 8, dx = -8
Block (81, 161): dy = -8, dx = 8
Block (97, 161): dy = -7, dx = 7
Block (113, 161): dy = -3, dx = 8
Block (129, 161): dy = 7, dx = 5
Block (145, 161): dy = 6, dx = -8
Block (161, 161): dy = 3, dx = -8
Block (177, 161): dy = 2, dx = 8
Block (193, 161): dy = 2, dx = -2
Block (209, 161): dy = 2, dx = -8
Block (225, 161): dy = -5, dx = 3
Block (241, 161): dy = -8, dx = 8
Block (257, 161): dy = -8, dx = 7
Block (273, 161): dy = -8, dx = -8
Block (289, 161): dy = 4, dx = 8
Block (305, 161): dy = 0, dx = -8
Block (321, 161): dy = 2, dx = -8
Block (337, 161): dy = 0, dx = 0
Block (1, 177): dy = 8, dx = 0
Block (17, 177): dy = -8, dx = -7
Block (33, 177): dy = 8, dx = -6
Block (49, 177): dy = 8, dx = 0
Block (65, 177): dy = 8, dx = -8
Block (81, 177): dy = 8, dx = -8
Block (97, 177): dy = -8, dx = 8
Block (113, 177): dy = -8, dx = 8
Block (129, 177): dy = -8, dx = 5
Block (145, 177): dy = -8, dx = -8
Block (161, 177): dy = -8, dx = -8
Block (177, 177): dy = -8, dx = 8
Block (193, 177): dy = -8, dx = -2
Block (209, 177): dy = -8, dx = -8
Block (225, 177): dy = -8, dx = 2
Block (241, 177): dy = -8, dx = -8
Block (257, 177): dy = -8, dx = 8
Block (273, 177): dy = -8, dx = 8
Block (289, 177): dy = 1, dx = 8
Block (305, 177): dy = -3, dx = 8
Block (321, 177): dy = 8, dx = 0
Block (337, 177): dy = 4, dx = 0
Block (1, 193): dy = 7, dx = 0
Block (17, 193): dy = -8, dx = 3
Block (33, 193): dy = 7, dx = -4
Block (49, 193): dy = 8, dx = -8
Block (65, 193): dy = 8, dx = -8
Block (81, 193): dy = 8, dx = -8
Block (97, 193): dy = 8, dx = -8
Block (113, 193): dy = -8, dx = 8
Block (129, 193): dy = 7, dx = 8
Block (145, 193): dy = 7, dx = -5
Block (161, 193): dy = -3, dx = -8
Block (177, 193): dy = -6, dx = -8
Block (193, 193): dy = -7, dx = 8
Block (209, 193): dy = -8, dx = 0
Block (225, 193): dy = 5, dx = -1
Block (241, 193): dy = -8, dx = -8
Block (257, 193): dy = 0, dx = 0
Block (273, 193): dy = -8, dx = 8
Block (289, 193): dy = -8, dx = 8
Block (305, 193): dy = -8, dx = 3
Block (321, 193): dy = -8, dx = 0
Block (337, 193): dy = 0, dx = 0
Block (1, 209): dy = 8, dx = 0
Block (17, 209): dy = -2, dx = 2
Block (33, 209): dy = 0, dx = -8
Block (49, 209): dy = 8, dx = -8
Block (65, 209): dy = 0, dx = -8
Block (81, 209): dy = 8, dx = 3
Block (97, 209): dy = 8, dx = -8
Block (113, 209): dy = 8, dx = -8
Block (129, 209): dy = -8, dx = 8
Block (145, 209): dy = -8, dx = -5
Block (161, 209): dy = 8, dx = 2
Block (177, 209): dy = 4, dx = -8
Block (193, 209): dy = 4, dx = -8
Block (209, 209): dy = 8, dx = 5
